sle(24)_sld(16)_lsed([32, 16])_lsf([16, 8])_ac(tanh)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(16)_lr(0.01)_ct(lstm)_pat(15);0.70659
sle(36)_sld(6)_lsed([16, 4])_lsf([16, 4])_ac(sigmoid)_opt(adam)_kp(0.95)_drop(0.05)_bs(32)_lr(0.0001)_ct(lstm)_pat(15);0.46314
sle(12)_sld(2)_lsed([64, 32])_lsf([4])_ac(sigmoid)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(32)_lr(0.001)_ct(lstm)_pat(15);0.81236
sle(28)_sld(12)_lsed([32])_lsf([16, 4])_ac(sigmoid)_opt(adam)_kp(0.95)_drop(0.05)_bs(16)_lr(0.0001)_ct(lstm)_pat(15);6.38721
sle(28)_sld(18)_lsed([32])_lsf([64, 16])_ac(sigmoid)_opt(adam)_kp(0.95)_drop(0.05)_bs(32)_lr(0.001)_ct(lstm)_pat(15);1.13816
sle(8)_sld(8)_lsed([8])_lsf([64, 16])_ac(tanh)_opt(adam)_kp(0.95)_drop(0.05)_bs(64)_lr(0.01)_ct(lstm)_pat(15);1.18527
sle(24)_sld(20)_lsed([32, 16])_lsf([64])_ac(tanh)_opt(adam)_kp(0.95)_drop(0.05)_bs(8)_lr(0.001)_ct(lstm)_pat(15);0.95966
sle(24)_sld(4)_lsed([32, 16])_lsf([64, 8])_ac(sigmoid)_opt(adam)_kp(0.95)_drop(0.05)_bs(64)_lr(0.01)_ct(lstm)_pat(15);0.41280
sle(32)_sld(16)_lsed([8])_lsf([8])_ac(tanh)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(16)_lr(0.0001)_ct(lstm)_pat(15);0.37154
sle(40)_sld(8)_lsed([8, 4])_lsf([4])_ac(tanh)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(64)_lr(0.001)_ct(lstm)_pat(15);0.50191
sle(28)_sld(4)_lsed([32, 16])_lsf([64])_ac(sigmoid)_opt(adam)_kp(0.95)_drop(0.05)_bs(16)_lr(0.0001)_ct(lstm)_pat(15);0.52869
sle(16)_sld(2)_lsed([64, 32])_lsf([64])_ac(sigmoid)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(8)_lr(0.01)_ct(lstm)_pat(15);1.56000
sle(16)_sld(8)_lsed([32, 16])_lsf([16])_ac(sigmoid)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(16)_lr(0.01)_ct(lstm)_pat(15);0.88588
sle(36)_sld(14)_lsed([16])_lsf([64, 16])_ac(sigmoid)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(16)_lr(0.0001)_ct(lstm)_pat(15);0.37771
sle(40)_sld(10)_lsed([16])_lsf([16, 4])_ac(sigmoid)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(16)_lr(0.001)_ct(lstm)_pat(15);0.81618
sle(28)_sld(14)_lsed([16])_lsf([64, 8])_ac(tanh)_opt(adam)_kp(0.95)_drop(0.05)_bs(64)_lr(0.0001)_ct(lstm)_pat(15);0.53863
sle(28)_sld(18)_lsed([32, 4])_lsf([4])_ac(tanh)_opt(adam)_kp(0.95)_drop(0.05)_bs(8)_lr(0.01)_ct(lstm)_pat(15);2.58432
sle(40)_sld(8)_lsed([32, 4])_lsf([16, 4])_ac(sigmoid)_opt(adam)_kp(0.95)_drop(0.05)_bs(16)_lr(0.001)_ct(lstm)_pat(15);0.64979
sle(40)_sld(4)_lsed([8, 4])_lsf([4])_ac(tanh)_opt(adam)_kp(0.95)_drop(0.05)_bs(8)_lr(0.0001)_ct(lstm)_pat(15);0.47655
sle(24)_sld(12)_lsed([32, 4])_lsf([64, 8])_ac(sigmoid)_opt(rmsprop)_kp(0.95)_drop(0.05)_bs(16)_lr(0.0001)_ct(lstm)_pat(15);0.51732
sle(8)_sld(8)_lsed([8, 4])_lsf([32, 8])_ac(tanh)_opt(adam)_kp(0.95)_drop(0.05)_bs(8)_lr(0.01)_ct(lstm)_pat(15);2.50148
